28315,9980
95157,228
310435,6609
329291,4081
386101,5246
573358,4531
836281,2450
1051559,8812
2103251,493
2318529,6871
2551536,9688
2581452,4794
2819601,7635
2844375,2714
2861017,8371
3059653,9074
3322576,7002
3744221,8372
3944497,2384
4111345,757
4530147,7901
4589546,5057
4852469,2977
4977413,1897
5067747,9335
5139864,7198
5330670,7264
5954895,8855
5994864,7292
6064484,7936
6119439,1021
6597640,5320
6761980,7255
6860563,3240
6989104,8673
7075841,9597
7338764,7526
7502300,2246
7913724,9410
8127533,1286
8605734,5582
8868657,3503
9049239,2490
9083935,9858
9250743,2311
9346858,7788
9707956,3793
10135627,1550
10613828,5845
10876751,3766
11158607,9711
11354952,8050
11524155,5624
12143721,1814
12452598,1649
12764856,4246
12884845,4029
13025273,6626
13363046,8312
13949893,7365
14151815,2078
14294927,3835
14618033,6109
14630016,6370
14874513,8102
14892939,4292
15345536,6189
15371140,8574
16159909,2342
16198318,4380
16270156,6928
16422832,252
16638110,6632
16901033,4555
17092949,9232
17194776,7666
17379234,8836
17619668,8295
18021392,5273
18119396,8404
18168003,2606
18430926,517
18646204,6895
18909127,4818
19044016,9141
19387328,9097
19568331,5516
19603079,3263
19968636,9877
20153795,1385
20176097,2869
20439020,781
20439659,7968
20635995,2778
20654298,7157
20917221,5081
21234874,6606
21364279,8705
21395422,9359
21618512,771
21733766,9957
22043247,8641
22184191,3132
22288899,9441
22447114,1045
22662392,7419
22925315,5343
23303302,8763
23403516,9620
24155565,6356
24192285,3395
24455208,1310
24670486,7681
24933409,5606
25080185,7095
25137125,9125
25411610,9882
25965417,8491
26200379,3659
26463302,1574
26475828,5919
26678580,7943
26684530,2517
26941503,5869
27400448,6658
28208473,3922
28325068,7396
28471396,1838
28686674,8205
28949597,6131
29162170,6328
29249688,8134
29778408,3005
30087889,1677
30174308,8871
30479490,2102
30694768,8467
30706385,5894
30742413,11
30957691,6394
31098928,9608
31220614,4316
31569951,7698
31634828,1921
32487584,2366
32494571,8435
32702862,8729
32750507,276
32965785,6656
33113408,1030
33228708,4579
33419191,9172
33800263,6380
34146324,543
34343811,9908
34361237,5346
34495678,2629
34710956,8990
34758601,540
34973879,6918
35236802,4842
35285857,6086
35860540,7964
36195882,9306
36275179,9501
36503772,2893
36681500,4909
36719050,9252
36766695,805
36893456,7481
36945895,6226
36981973,7180
37203622,5544
37244896,5104
37462233,2867
37606120,5649
37838639,7836
38511866,3156
38530740,6388
38727144,9513
38774789,1069
38926950,2255
38990067,7443
39252990,5367
39369057,9985
39455360,7126
40379980,7864
40519960,3419
40735238,9775
40782883,1333
40916462,3384
40998161,7705
41225477,8911
41261084,5630
41304600,8602
41623999,9365
42229220,9338
42528054,3682
42564696,9422
42700243,7428
42790977,1598
43006255,7967
43269178,5892
44319355,9394
44536148,3945
44549483,8903
44799071,1862
45014349,8229
45277272,6155
45474103,9639
45491529,5076
45673242,3369
